Rented Bike Count,Hour,Temperature(Â°C),Humidity(%),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,Functioning Day,Day,Month,DayOfWeek,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
563,14.0,7.6,76,1.2,422,0.69,0.0,0.0,1,1,3,12,6,0,0,0,1
621,15.0,8.0,73,1.6,433,0.53,0.0,0.0,1,1,3,12,6,0,0,0,1
598,16.0,7.6,77,1.6,399,0.2,0.0,0.0,1,1,3,12,6,0,0,0,1
545,17.0,6.7,82,1.5,358,0.05,0.0,0.0,1,1,3,12,6,0,0,0,1
443,18.0,6.0,84,1.9,327,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
422,19.0,5.7,85,1.7,309,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
397,20.0,5.2,87,1.4,253,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
385,21.0,4.7,87,1.2,247,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
350,22.0,4.3,89,1.8,201,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
303,23.0,3.9,90,1.3,194,0.0,0.0,0.0,1,1,3,12,6,0,0,0,1
285,0.0,4.2,88,0.6,216,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
186,1.0,4.3,87,0.5,221,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
112,2.0,4.4,87,1.8,207,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
65,3.0,3.6,85,2.3,206,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
41,4.0,2.8,89,1.5,130,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
82,5.0,2.0,83,2.7,253,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
200,6.0,1.2,76,3.7,371,0.0,0.1,0.0,1,1,4,12,0,0,0,0,1
498,7.0,0.2,68,3.4,702,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
937,8.0,-0.8,69,3.5,954,0.01,0.0,0.0,1,1,4,12,0,0,0,0,1
509,9.0,-1.5,47,4.2,1888,0.22,0.0,0.0,1,1,4,12,0,0,0,0,1
311,10.0,-1.1,40,4.5,2000,0.64,0.0,0.0,1,1,4,12,0,0,0,0,1
379,11.0,-0.5,41,4.1,1799,0.94,0.0,0.0,1,1,4,12,0,0,0,0,1
393,12.0,-0.3,38,4.8,1823,1.11,0.0,0.0,1,1,4,12,0,0,0,0,1
391,13.0,0.0,30,5.4,1938,1.17,0.0,0.0,1,1,4,12,0,0,0,0,1
338,14.0,0.1,27,4.5,2000,1.09,0.0,0.0,1,1,4,12,0,0,0,0,1
341,15.0,-0.1,25,5.8,2000,0.88,0.0,0.0,1,1,4,12,0,0,0,0,1
375,16.0,-0.2,23,4.7,2000,0.55,0.0,0.0,1,1,4,12,0,0,0,0,1
515,17.0,-1.3,26,5.3,2000,0.18,0.0,0.0,1,1,4,12,0,0,0,0,1
807,18.0,-2.1,29,3.9,2000,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
568,19.0,-2.9,32,3.2,2000,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
398,20.0,-3.6,38,3.0,2000,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
397,21.0,-4.6,43,4.5,2000,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
353,22.0,-5.3,45,2.5,2000,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
248,23.0,-5.8,44,2.4,2000,0.0,0.0,0.0,1,1,4,12,0,0,0,0,1
216,0.0,-6.1,42,2.6,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
198,1.0,-6.5,41,2.8,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
124,2.0,-6.8,41,2.5,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
62,3.0,-6.9,39,2.0,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
42,4.0,-7.2,34,3.0,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
82,5.0,-7.4,33,2.6,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
172,6.0,-7.4,34,3.2,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
381,7.0,-7.5,33,2.2,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
812,8.0,-8.1,36,1.6,2000,0.01,0.0,0.0,1,1,5,12,1,0,0,0,1
462,9.0,-7.6,31,1.3,1974,0.21,0.0,0.0,1,1,5,12,1,0,0,0,1
269,10.0,-5.5,26,2.8,1967,0.64,0.0,0.0,1,1,5,12,1,0,0,0,1
334,11.0,-3.9,25,0.0,1959,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
321,12.0,-2.3,25,0.0,1962,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
325,13.0,-1.6,27,0.0,1955,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
334,14.0,-1.1,28,0.0,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
353,15.0,-0.7,28,0.0,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
435,16.0,-0.5,30,0.0,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
529,17.0,-1.6,35,0.0,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
789,18.0,-2.6,40,0.0,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
597,19.0,-3.2,45,0.0,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
418,20.0,-3.5,46,0.0,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
415,21.0,-3.7,47,0.0,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
393,22.0,-2.8,49,0.0,2000,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
244,23.0,-2.5,59,0.0,1210,0.0,0.0,0.0,1,1,5,12,1,0,0,0,1
145,0.0,-2.8,77,0.0,331,0.0,0.1,0.1,1,1,6,12,2,0,0,0,1
144,1.0,-3.0,79,0.0,293,0.0,0.0,0.3,1,1,6,12,2,0,0,0,1
117,2.0,-3.0,79,0.0,1862,0.0,0.0,0.4,1,1,6,12,2,0,0,0,1
78,3.0,-3.2,78,0.0,1808,0.0,0.2,0.4,1,1,6,12,2,0,0,0,1
58,4.0,-3.4,75,0.0,1982,0.0,0.0,0.4,1,1,6,12,2,0,0,0,1
87,5.0,-3.6,76,0.0,1934,0.0,0.0,0.4,1,1,6,12,2,0,0,0,1
142,6.0,-3.7,76,0.0,1864,0.0,0.0,0.4,1,1,6,12,2,0,0,0,1
379,7.0,-4.2,77,0.0,1741,0.0,0.0,0.3,1,1,6,12,2,0,0,0,1
802,8.0,-4.2,78,0.0,1518,0.01,0.0,0.2,1,1,6,12,2,0,0,0,1
440,9.0,-3.3,70,0.0,1324,0.25,0.0,0.2,1,1,6,12,2,0,0,0,1
307,10.0,-0.9,64,0.0,1224,0.63,0.0,0.2,1,1,6,12,2,0,0,0,1
381,11.0,1.6,57,1.2,1261,0.93,0.0,0.0,1,1,6,12,2,0,0,0,1
405,12.0,2.4,52,0.9,1224,1.08,0.0,0.0,1,1,6,12,2,0,0,0,1
442,13.0,4.2,47,1.1,1469,1.1,0.0,0.0,1,1,6,12,2,0,0,0,1
416,14.0,5.5,34,1.0,1966,0.96,0.0,0.0,1,1,6,12,2,0,0,0,1
412,15.0,5.5,31,3.1,1968,0.72,0.0,0.0,1,1,6,12,2,0,0,0,1
496,16.0,5.3,37,2.9,2000,0.36,0.0,0.0,1,1,6,12,2,0,0,0,1
239,17.0,4.1,60,2.5,1565,0.1,0.0,0.0,1,1,6,12,2,0,0,0,1
204,18.0,1.7,90,1.0,66,0.0,0.3,0.3,1,1,6,12,2,0,0,0,1
205,19.0,1.2,92,0.7,180,0.0,0.0,1.0,1,1,6,12,2,0,0,0,1
190,20.0,1.2,94,0.6,228,0.0,0.0,1.0,1,1,6,12,2,0,0,0,1
165,21.0,1.1,92,0.5,235,0.0,0.7,1.0,1,1,6,12,2,0,0,0,1
222,22.0,1.3,92,0.6,233,0.0,0.0,1.0,1,1,6,12,2,0,0,0,1
193,23.0,1.3,92,0.6,209,0.0,0.0,1.0,1,1,6,12,2,0,0,0,1
198,0.0,1.4,92,0.5,240,0.0,0.0,0.9,1,1,7,12,3,0,0,0,1
218,1.0,1.5,92,0.4,227,0.0,0.0,0.9,1,1,7,12,3,0,0,0,1
149,2.0,1.4,92,0.7,168,0.0,0.0,0.9,1,1,7,12,3,0,0,0,1
102,3.0,1.9,91,1.4,218,0.0,0.0,0.9,1,1,7,12,3,0,0,0,1
62,4.0,1.6,92,0.7,119,0.0,0.0,0.9,1,1,7,12,3,0,0,0,1
83,5.0,1.5,92,1.1,175,0.0,0.0,0.9,1,1,7,12,3,0,0,0,1
137,6.0,1.0,93,0.5,148,0.0,0.0,0.9,1,1,7,12,3,0,0,0,1
367,7.0,0.3,93,0.5,173,0.0,0.0,0.9,1,1,7,12,3,0,0,0,1
754,8.0,-0.2,96,0.8,173,0.01,0.0,0.8,1,1,7,12,3,0,0,0,1
415,9.0,0.1,91,0.8,265,0.14,0.0,0.8,1,1,7,12,3,0,0,0,1
321,10.0,1.1,83,0.7,311,0.41,0.0,0.7,1,1,7,12,3,0,0,0,1
333,11.0,2.3,69,1.7,628,0.63,0.0,0.6,1,1,7,12,3,0,0,0,1
431,12.0,3.7,65,2.4,833,0.98,0.0,0.3,1,1,7,12,3,0,0,0,1
394,13.0,4.1,37,3.1,1767,1.14,0.0,0.0,1,1,7,12,3,0,0,0,1
390,14.0,4.4,36,2.7,1975,1.04,0.0,0.0,1,1,7,12,3,0,0,0,1
430,15.0,4.0,35,3.1,1962,0.84,0.0,0.0,1,1,7,12,3,0,0,0,1
471,16.0,3.2,38,2.9,1817,0.51,0.0,0.0,1,1,7,12,3,0,0,0,1
552,17.0,2.1,50,2.0,1434,0.15,0.0,0.0,1,1,7,12,3,0,0,0,1
795,18.0,0.7,46,2.7,1558,0.0,0.0,0.0,1,1,7,12,3,0,0,0,1
507,19.0,-0.4,47,2.5,1269,0.0,0.0,0.0,1,1,7,12,3,0,0,0,1
390,20.0,-1.4,47,2.5,1620,0.0,0.0,0.0,1,1,7,12,3,0,0,0,1
402,21.0,-2.2,46,2.2,1975,0.0,0.0,0.0,1,1,7,12,3,0,0,0,1
389,22.0,-2.7,48,2.6,1844,0.0,0.0,0.0,1,1,7,12,3,0,0,0,1
259,23.0,-3.2,50,2.1,1887,0.0,0.0,0.0,1,1,7,12,3,0,0,0,1
233,0.0,-3.5,49,2.6,1893,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
230,1.0,-3.7,50,2.5,1902,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
131,2.0,-4.3,53,1.0,1918,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
99,3.0,-4.8,52,1.6,1978,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
71,4.0,-5.3,53,2.4,1936,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
84,5.0,-5.8,56,2.0,1941,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
158,6.0,-6.0,56,3.5,1853,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
387,7.0,-6.5,57,1.5,1776,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
780,8.0,-7.0,59,0.8,1559,0.01,0.0,0.0,1,1,8,12,4,0,0,0,1
395,9.0,-6.7,50,0.9,1492,0.23,0.0,0.0,1,1,8,12,4,0,0,0,1
261,10.0,-5.3,44,2.8,1516,0.63,0.0,0.0,1,1,8,12,4,0,0,0,1
310,11.0,-3.7,39,1.4,1595,0.93,0.0,0.0,1,1,8,12,4,0,0,0,1
355,12.0,-2.0,30,1.4,1728,1.14,0.0,0.0,1,1,8,12,4,0,0,0,1
354,13.0,-1.7,28,1.8,1963,1.22,0.0,0.0,1,1,8,12,4,0,0,0,1
350,14.0,-1.3,27,3.1,1906,1.12,0.0,0.0,1,1,8,12,4,0,0,0,1
362,15.0,-0.8,26,3.3,1977,0.87,0.0,0.0,1,1,8,12,4,0,0,0,1
401,16.0,-1.1,24,3.4,2000,0.56,0.0,0.0,1,1,8,12,4,0,0,0,1
500,17.0,-2.4,30,2.7,2000,0.18,0.0,0.0,1,1,8,12,4,0,0,0,1
752,18.0,-3.1,33,1.2,2000,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
477,19.0,-3.3,35,1.1,2000,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
384,20.0,-3.3,34,1.5,2000,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
336,21.0,-3.3,35,0.5,2000,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
347,22.0,-3.4,39,1.2,2000,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
275,23.0,-3.5,43,0.9,2000,0.0,0.0,0.0,1,1,8,12,4,0,0,0,1
267,0.0,-3.5,48,0.9,1967,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
296,1.0,-4.1,49,0.6,2000,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
237,2.0,-4.7,50,0.7,1983,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
169,3.0,-4.3,47,0.6,1992,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
96,4.0,-4.3,49,0.7,2000,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
56,5.0,-4.7,49,0.8,1999,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
76,6.0,-5.1,53,0.9,1975,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
127,7.0,-5.5,56,0.8,1950,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
222,8.0,-5.4,56,0.7,1940,0.01,0.0,0.0,1,1,9,12,5,0,0,0,1
291,9.0,-4.7,48,1.0,1784,0.23,0.0,0.0,1,1,9,12,5,0,0,0,1
273,10.0,-2.2,42,1.3,1646,0.61,0.0,0.0,1,1,9,12,5,0,0,0,1
351,11.0,0.0,45,1.1,1500,0.89,0.0,0.0,1,1,9,12,5,0,0,0,1
427,12.0,2.4,40,0.8,1809,1.05,0.0,0.0,1,1,9,12,5,0,0,0,1
431,13.0,3.9,36,2.0,1702,1.13,0.0,0.0,1,1,9,12,5,0,0,0,1
486,14.0,4.7,32,2.2,1948,1.06,0.0,0.0,1,1,9,12,5,0,0,0,1
569,15.0,5.2,30,2.0,1963,0.84,0.0,0.0,1,1,9,12,5,0,0,0,1
546,16.0,4.4,33,1.6,1963,0.4,0.0,0.0,1,1,9,12,5,0,0,0,1
481,17.0,3.5,37,1.8,1963,0.1,0.0,0.0,1,1,9,12,5,0,0,0,1
384,18.0,2.5,41,1.0,1974,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
275,19.0,1.5,48,0.4,1878,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
298,20.0,0.8,51,1.4,1848,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
321,21.0,-0.1,55,0.7,1654,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
289,22.0,-0.5,55,0.6,1655,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
265,23.0,-0.1,54,1.3,1570,0.0,0.0,0.0,1,1,9,12,5,0,0,0,1
326,0.0,-0.2,55,1.0,1629,0.0,0.0,0.0,1,1,10,12,6,0,0,0,1
280,1.0,-0.2,54,0.5,1747,0.0,0.0,0.0,1,1,10,12,6,0,0,0,1
243,2.0,0.2,52,0.7,1726,0.0,0.0,0.0,1,1,10,12,6,0,0,0,1
169,3.0,0.3,53,0.5,1748,0.0,0.0,0.0,1,1,10,12,6,0,0,0,1
71,4.0,0.4,52,1.6,1816,0.0,0.0,0.0,1,1,10,12,6,0,0,0,1
13,5.0,0.3,74,1.0,178,0.0,0.0,0.7,1,1,10,12,6,0,0,0,1
9,6.0,-0.5,90,0.9,91,0.0,2.5,2.7,1,1,10,12,6,0,0,0,1
20,7.0,-0.4,92,1.1,121,0.0,0.0,4.0,1,1,10,12,6,0,0,0,1
35,8.0,-0.2,90,1.2,378,0.0,0.0,4.1,1,1,10,12,6,0,0,0,1
31,9.0,0.2,90,1.0,305,0.0,1.6,4.3,1,1,10,12,6,0,0,0,1
19,10.0,0.5,91,0.4,143,0.0,0.0,4.3,1,1,10,12,6,0,0,0,1
58,11.0,0.9,92,0.9,137,0.03,0.0,3.9,1,1,10,12,6,0,0,0,1
119,12.0,2.3,88,0.3,245,0.28,0.0,3.1,1,1,10,12,6,0,0,0,1
182,13.0,3.3,87,1.1,230,0.54,0.0,2.1,1,1,10,12,6,0,0,0,1
235,14.0,4.2,85,0.7,325,0.65,0.0,1.4,1,1,10,12,6,0,0,0,1
180,15.0,6.7,63,4.5,715,0.35,0.0,1.0,1,1,10,12,6,0,0,0,1
214,16.0,5.4,71,3.5,622,0.2,0.0,0.5,1,1,10,12,6,0,0,0,1
226,17.0,3.6,65,4.3,1061,0.03,0.0,0.4,1,1,10,12,6,0,0,0,1
210,18.0,2.0,61,3.0,2000,0.0,0.0,0.0,1,1,10,12,6,0,0,0,1
181,19.0,1.6,53,4.0,2000,0.0,0.0,0.0,1,1,10,12,6,0,0,0,1
165,20.0,0.6,57,3.9,1954,0.0,0.0,0.0,1,1,10,12,6,0,0,0,1
167,21.0,0.0,59,3.0,1862,0.0,0.0,0.0,1,1,10,12,6,0,0,0,1
152,22.0,-1.0,56,4.7,2000,0.0,0.0,0.0,1,1,10,12,6,0,0,0,1
148,23.0,-1.4,43,4.3,2000,0.0,0.0,0.0,1,1,10,12,6,0,0,0,1
125,0.0,-2.5,39,3.4,2000,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
111,1.0,-3.4,36,3.8,2000,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
67,2.0,-4.2,35,3.4,2000,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
45,3.0,-4.7,38,2.4,2000,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
44,4.0,-5.2,35,3.2,2000,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
86,5.0,-5.6,38,3.2,1974,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
136,6.0,-5.9,39,2.9,1979,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
325,7.0,-6.0,39,3.1,1996,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
653,8.0,-6.0,38,3.6,1994,0.01,0.0,0.0,1,1,11,12,0,0,0,0,1
326,9.0,-5.9,36,5.1,1941,0.1,0.0,0.0,1,1,11,12,0,0,0,0,1
212,10.0,-5.3,32,4.5,2000,0.62,0.0,0.0,1,1,11,12,0,0,0,0,1
226,11.0,-4.7,36,3.8,2000,1.0,0.0,0.0,1,1,11,12,0,0,0,0,1
247,12.0,-5.2,33,4.6,1973,1.26,0.0,0.0,1,1,11,12,0,0,0,0,1
241,13.0,-5.4,32,5.1,1986,1.24,0.0,0.0,1,1,11,12,0,0,0,0,1
253,14.0,-5.4,31,4.1,1945,1.13,0.0,0.0,1,1,11,12,0,0,0,0,1
269,15.0,-5.5,33,4.5,2000,0.92,0.0,0.0,1,1,11,12,0,0,0,0,1
277,16.0,-6.0,40,4.0,2000,0.55,0.0,0.0,1,1,11,12,0,0,0,0,1
361,17.0,-7.1,44,4.2,2000,0.18,0.0,0.0,1,1,11,12,0,0,0,0,1
557,18.0,-7.9,43,3.3,2000,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
371,19.0,-8.6,45,3.9,2000,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
254,20.0,-9.3,49,3.8,2000,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
266,21.0,-9.7,51,2.5,2000,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
222,22.0,-10.2,50,3.0,2000,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
174,23.0,-10.7,53,1.2,2000,0.0,0.0,0.0,1,1,11,12,0,0,0,0,1
133,0.0,-11.0,51,1.1,2000,0.0,0.0,0.0,1,1,12,12,1,0,0,0,1
127,1.0,-11.2,51,1.1,2000,0.0,0.0,0.0,1,1,12,12,1,0,0,0,1
95,2.0,-11.5,50,0.7,2000,0.0,0.0,0.0,1,1,12,12,1,0,0,0,1
54,3.0,-11.6,50,2.2,1995,0.0,0.0,0.0,1,1,12,12,1,0,0,0,1
46,4.0,-11.6,47,2.1,1982,0.0,0.0,0.0,1,1,12,12,1,0,0,0,1
65,5.0,-11.6,45,2.8,1951,0.0,0.0,0.0,1,1,12,12,1,0,0,0,1
104,6.0,-11.8,47,2.5,1973,0.0,0.0,0.0,1,1,12,12,1,0,0,0,1
280,7.0,-12.1,50,2.3,1929,0.0,0.0,0.0,1,1,12,12,1,0,0,0,1
580,8.0,-12.3,52,1.3,1914,0.0,0.0,0.0,1,1,12,12,1,0,0,0,1
275,9.0,-11.8,46,2.9,1956,0.1,0.0,0.0,1,1,12,12,1,0,0,0,1
184,10.0,-10.5,45,3.3,1855,0.6,0.0,0.0,1,1,12,12,1,0,0,0,1
201,11.0,-9.4,42,3.1,1815,0.93,0.0,0.0,1,1,12,12,1,0,0,0,1
228,12.0,-8.3,35,2.9,1967,1.14,0.0,0.0,1,1,12,12,1,0,0,0,1
225,13.0,-6.9,37,2.4,1955,1.22,0.0,0.0,1,1,12,12,1,0,0,0,1
